coatings-primers	545
plumbing-pipes	298
electrical-fixtures	127
powders-putties	125
electrical-wiring	122
paint-tools	112
waterproofing-chemicals	76
structural-steel	75
adhesives-sealants	72
fasteners-hardware	50
sanitary-fixtures	43
wood-boards-sheets	38
cleaning-consumables	31
tools-machines	30
tile-accessories	17
plumbing-valves-pumps	11
